Product Id,Product Name,Category,Brand,Model,Base Price(Rs.), Offer Price(Rs.),Product Status
5116877-83039914639,LAPCARE SSD 512GB_ 5Y,Internal Storage Device (SSD/HDD),LAPCARE,LAPCARE SSD 512GB_5Y,5469,,Published
5116877-62618987855,DURACELL Alkaline Battery 9 Volt,Alkaline Battery 9V,DURACELL,DC,500,,Published
5116877-83482882517,"DURACELL CR Alkaline Coin Cell Battery, Capacity 1.5 mAh",Button Cell or Coin Cell Battery,DURACELL,(Duracell (Size AA )),49,,Published
5116877-42109344184,DURACELL Alkaline Battery 9 Volt,Alkaline Battery 9V,DURACELL,DURACELL ULTRA ALKALINE 9 VOLT BATTERY-6LP3146 / MN1604- WITHOUT ISI MARK & CML NO,480,,Published
5116877-19853345079,Unbranded Material Table Furniture Assembly (Golden),Tables,NA,JDJ Table,95000,,Published
5116877-97273104104,LAPCARE Standard keyboard with Optical Movement Detection Technology Mouse,Keyboard and Mouse Combo,LAPCARE,LAPCARE KEYBOARD MOUSE COMBO_1Y,999,,Published
5116877-62764459334,Reflection Multipurpose Copier Paper - 70 GSM (A4),Plain Copier Paper (V3) ISI Marked to IS 14490,Reflection Multipurpose Copier Paper,Reflection Multipurpose Copier Paper,365,,Published
5116877-37444280048,Reflection White,Plain Copier Paper (V3) ISI Marked to IS 14490,REFLECTION WHITE,Reflection White-70 GSM-A4,365,,Published
5116877-83467279273,Lapcare Monitor LMN22WD,Computer Monitor,LAPCARE,LMN22WD,14000,,Published
5116877-68277360726,LAPCARE LMN21WD Monitor,Computer Monitor,LAPCARE,LAPCARE LMN21WD Monitor,8400,,Published
5116877-41284230711,EUCCOI Standard Keyboard - Wired - Plug and Play 1 Years,Keyboard for Personal Computers (V2) as per IS 14441,EUCCOI,Dell wireless keyboard mouse combo Km3322,3999,,Published
5116877-36420471794,Iron Chair Already Assembled,Chairs - Handcrafted,Urbangrey,nontilting,20000,,Published
5116877-96049600808,Krone Plastic 10 mm Crimping Tools,Crimping Tools,Krone,Crimping Tools,1015,,Published
5116877-50669325718,TRUE RMS CLAMP METER,true rms clamp meter,NA,SI-CM-100,18500,,Published
5116877-31951765104,Optik vision gold Fiber Optic Joint Box Termination Enclosure Box OFC Splicing Tray,modular electrical enclosure switch board boxes for modular type accessories,NA,Optik vision gold Fiber Optic Joint Box Termination Enclosure Box OFC Splicing Tray,400,,Published
5116877-58929891278,UNBRANDED HOT /COLD AND NORMAL FLOOR STANDING WATER DISPENSER,Hot / Cold Water Dispenser (V2),NA,UNBRANDED HOT /COLD WATER DISPENSER,13000,,Published
5116877-29643297132,FS250,HEDGE TRIMMER or HEDGE CUTTER,NA,STHL Brush Cutter,45000,,Published
5116877-22472481092,"Unbranded Wax Thermal Ribbon , 300 Meters",Thermal Ribbon,NA,Thermal Ribbon 300*105,300,,Published
5116877-52934077418,LABLES STICKERS,Labels Stickers (V2),SAUMYA,SAUMYA,429,,Published
5116877-66914020668,Unbranded 500 number of Non-adhesive Labels / Stickers,Labels Stickers (V2),NA,UNBRANDED NON - ADHESIVE LABELS,1000,,Published
5116877-9261568709,K - 4 Crash Rated Boom Barrier,K - 4 Crash Rated Boom Barrier,NA,PE-k1000,350000,,Published
5116877-74995770176,Unbranded Metal Drawer File Cabinet,Modular Metal Drawer File Cabinet Pedestal,NA,Unbranded Metal Drawer File Cabinet,14994,,Published
5116877-30073522477,"Unbranded K-4 CRASH RATED BOOM BARRIER, Warranty 1 year",K - 4 Crash Rated Boom Barrier,NA,II-01-Customize,650000,,Published
6894588-3994079522,J&A-OC004,Chairs - Handcrafted,NA,NA,5500,,Draft Products
5116877-78468299547,LAPCARE Internal Solid State Drive (SSD) with Warranty 2 Years,Internal Storage Device (SSD/HDD),LAPCARE,Lapcare LAPDISC NVMe 2280 PCIe Gen 3 SSD 512GB 2YR,6929,,Published
5116877-42826277609,WOODEN HI BACK CHAIR,Chairs - Handcrafted,NA,WOODEN HI BACK CHAIR,22000,,Published
6894588-19079279785,TVS 40 PLUS RIBBON CARTRIDGE,Thermal Ribbon,OG,TVS 40 PLUS RIBBON CARTRIDGE,2500,,Discontinued
5116877-29831380194,S TYPE NETTED CHAIR,Chairs - Handcrafted,NA,S TYPE NETTED CHAIR,4500,,Published
5116877-95796865645,Pad Locks IG 4 Levers 75 mm,Pad Lock Various (As Per Defence Specification),NA,Pad Locks IG 4 Levers 75 mm As per Defence specification IND/GS/1909 Brass padlocks with male or female keys â€“ As per Fig 1 of govng. Specn.,750,,Published
5116877-13884258418,Unbranded Random Access Memory (RAM) Card 16 GB,Random Access Memory (RAM) Card (V2),NA,16GB Ram DDR-4 2666mhz,8000,,Published
5116877-31069476824,Quick Heal Total Security 1 user 1 year,Desktop And Application Virtualisation Software,Microsoft,Quick Heal Total Security 1 user 1 year,1909,,Published
5116877-92606864050,g41 motherboard,Motherboard for Desktop,ZEBRONICS,G41 MOTHERBOARD,6000,,Published
6894588-43917820479,LAPCARE RAM 16GB DDR4 3200,Random Access Memory (RAM) Card (V2),LAPCARE,LAPCARE RAM 16GB DDR4 3200,7599,,Pending Approval
5116877-21650222136,LAPCARE 512GB_ SATA_ SSD_ 2Y,Internal Storage Device (SSD/HDD),LAPCARE,LAPCARE 512GB_ SATA_ SSD_ 2Y,5469,,Published
5116877-18719459640,Platform Ladder,Platform Step Ladder (V2),NA,Platform Ladder,10000,,Published
5116877-59510510252,WELBUILT Aluminium Platform step ladder of total extended height of 12 feet,Platform Step Ladder (V2),WELBUILT,Step Ladder,45000,,Published
5116877-29276138445,LAPCARE SSD 256_ 3YRS,Internal Storage Device (SSD/HDD),LAPCARE,LAPCARE SSD 256_3YRS,3489,,Published
5116877-62852572727,Unbranded EOS 700D DSLR Camera Body with Dual Lens: EF S18 - 55 mm,DSLR Camera Lens,NA,EOS 700D DSLR,44995,,Discontinued
5116877-49193993287,COUNTER REVOLVING CHAIR,Counter Chair (Bar / Pub),NA,RC,8500,,Published
6894588-48345513773,CHAIR,Chair (Preschool Kit),Nilkamal,CHR4002,750,,Pending Approval
5116877-29431377734,CARE-O-SAFE,Sanitary Napkins Vending Machines,NA,COSM-50,16900,,Published
5116877-25206435176,SANITARY NAPKINS INCINETATOR MACHINE WITH SMOKE CONTROL UNIT,Sanitary Napkins Incinetator Machine with Smoke Control Unit,NA,JAN2019 ORG/BR008,25000,,Published
5116877-15782996519,LP 46 Neo,Label Printer / Barcode Printer,TVS,LP 46 Neo,20995,,Published
5116877-96263467961,TVS ELECTRONICS Loose Currency Desktop/Table Top-Type Currency Counting Machine having counting speed Upto 1000 currency notes per minute,Currency Counting Machine (V2),TVS ELECTRONICS,CC-232G+ CASH COUNTER,8995,,Published
5116877-15548634725,Unbranded Stationary Valve Regulated Lead Acid Batteries 42 Ah,Stationary Valve Regulated Lead Acid Batteries (V2) as per IS 15549,NA,42AH SMF BATTERY,6225,,Published
5116877-83908903632,Unbranded Stationary Valve Regulated Lead Acid Batteries 150 Ah,Stationary Valve Regulated Lead Acid Batteries (V2) as per IS 15549,NA,12V 150AH,20000,,Published
5116877-5417546424,Stationary Valve Regulated Lead Acid Batteries (V2) as per IS 15549,Stationary Valve Regulated Lead Acid Batteries (V2) as per IS 15549,NA,BATTERY/12V 100A,17000,,Published
5116877-10920755403,"FCBC 48V, 25A With 4 Module",General Purpose Battery Chargers,Parswa,"Parswa, FCBC 48V,25A PPM 4850-LCD",46870,,Published
5116877-76669218286,Add on GATEWAYS and Accessories for PABX System,Add on GATEWAYS  and Accessories for  PABX System,ANDA TELECOM,AT-OLT-32T,300000,,Published
5116877-84784496404,FXO FXS 32 PORT,Add on GATEWAYS  and Accessories for  PABX System,ANDA TELECOM,AT-OLT-32T,95000,,Published
5116877-36741770237,Unbranded C1393E Switch Fuse Unit 415 volts,Switch Fuse Unit,NA,OFF LOAD CHANGE OVER SWITCH  63Amp,7255,,Published
5116877-50638192738,Cash Counter CC 453 Star+,Currency Counting Machine (V2),TVS ELECTRONICS,Cash Counter CC 453 Star+,16995,,Published
5116877-20096135539,TVS SPEED40 STAR,Thermal Ribbon,NA,TVS SPEED 40 STAR RIBBON CARTRIDGE,1700,,Published
5116877-9911019727,EPSON PLQ 20 RIBBON CARTRIDGE[ SET OF 3],Thermal Ribbon,surya,EPSON PLQ 20 RIBBON CARTRIDGE[ SET OF 3],2980,,Published
5116877-85776292567,Revolving Without Foot Rest and Back rest,medical stools or chairs,NA,Chair,30000,,Published
5116877-7432218283,UNBRANDED REVOLVING CHAIR,Counter Chair (Bar / Pub),NA,UNBRANDED REVOLVING CHAIR,14000,,Published
5116877-36135770380,Unbranded Mild steel Table Top Elevator Writing Desk,Table Top Elevator Writing Desk,NA,Table Top Elevator Writing Desk,18000,,Published
5116877-8809801461,BY UNBRANDED OFFICE CHAIR,Counter Chair (Bar / Pub),NA,NA,12000,,Published
5116877-40818712661,BioEnable Dual Iris Scanner as per UIDAI Specification with 3 Years Warranty,Dual Iris Scanner as per UIDAI Specification,BiOEnABLE,IriUniverse-Two,30000,,Published
5116877-28671198306,Fingerprint Scanner (Slap Scanner) as per UIDAI Specification,Fingerprint Scanner (Slap Scanner) as per UIDAI Specification,THALES,DactyScan84c,60000,,Published
5116877-59261340215,KEC Chair,Chairs - Handcrafted,KEC,chair,50000,,Published
5116877-13088079505,KURCI - MID BACK CUSHIONED REVOLVING CHAIR,Counter Chair (Bar / Pub),NA,KURCI-MID BACK CUSHIONED REVOLVING CHAIR,12000,,Published
5116877-84118930136,REVOLVING CHAIR VRUNDAVAN ENTERPRISE,Counter Chair (Bar / Pub),NA,VA12A401,18000,,Published
5116877-80014189064,RUDDHANIA MODULAR TABLE 09,Modular Table / Meeting Table / Centre Table (V2),Ruddhania Flexible Furnitures,RUDDHANIA MODULAR TABLE 09,25000,,Published
5116877-53749125117,Waiting area chair,Waiting Area / Airport Terminal / Public Place / Reception area Chair or Seat (V2),Rana Furnicos Pvt. Ltd,RF-WAC-009,40000,,Published
5116877-43458737597,DAZE FURNITURES Mid-back Revolving Chair of Adjustable height with Wheels,Revolving Chair (V5),DAZE FURNITURES,BALLA8769,11000,,Published
5116877-27306634487,DAZE FURNITURES Mid-back Revolving Chair of Adjustable height with Wheels,Revolving Chair (V5),DAZE FURNITURES,BALLA66,10000,,Published
5116877-31004029064,DAZE FURNITURES High-back Revolving Chair of Adjustable height with Wheels,Revolving Chair (V5),DAZE FURNITURES,BALLA0658,10000,,Published
5116877-23856682485,Unbranded Stainless Steel Rectangular Dining Table with C3431E fixed Chair,Stainless Steel Dining Table With Fixed Chair,NA,GF-520,20000,,Discontinued
5116877-65382505232,Modular Table with Particle Board Table Top and Wooden/Engineer Wood Understructure,Modular Table / Meeting Table / Centre Table (V2),Ruddhania Flexible Furnitures,NA,46000,,Published
5116877-76877954479,RUDDHANIA MODULAR TABLE 09,Modular Table / Meeting Table / Centre Table (V2),Ruddhania Flexible Furnitures,RUDDHANIA MODULAR TABLE 09,22000,,Published
5116877-25223780539,Ruddhania Modular Table 02,Modular Table / Meeting Table / Centre Table (V2),Ruddhania Flexible Furnitures,Ruddhania Modular Table 02,45000,,Published
5116877-66816935629,Microsoft,Desktop And Application Virtualisation Software,Microsoft,MS OFFICE PRO 2024,47899,,Published
5116877-99371778172,Microsoft,Desktop And Application Virtualisation Software,Microsoft,microsoft office 2024 professional plus,37999,,Published
5116877-64054522765,TV 32 INCHES,Tv & Entertainment Units,NA,NA,25000,,Published
15116877-50277827824,Office LTSC Professional Plus 2024,Office Suite Software (V3),Microsoft,Office LTSC Professional Plus 2024 (CSP Perpetual),5000,,Published
5116877-12820870081,Microsoft Windows 11 Pro Operating System Software,Operating System Software (V3),Microsoft,Windows GGWA - Windows 11 Pro - Legalization Get,10000,,Published
5116877-75262370250,Quick Heal Total Shield 10 User 3 Years,Antivirus Software,Quick heal,Quick Heal Total Shield 10 User 3 Years,20000,,Published
6894588-13770268452,Adobe Acrobat Pro for Enterprise - Government Edition_ 3Y,Desktop Publishing Software (PDF Viewer and Writer),Adobe,Adobe Acrobat Pro Enterprise - Government Edition,119457,,Discontinued
6894588-77752717453,WIN 11 PRO (OEM DVD PACK),Add on Softwares - Lisences and Accessories for PABX System,IHT,WIN 11 PRO (OEM DVD PACK),25000,,Pending Approval
5116877-83363008505,Adobe Acrobat Pro Dc 2024 Perpetual,Desktop Publishing Software (PDF Viewer and Writer),ADOBE EXPRESS,Adobe Acrobat Pro Dc 2024 Perpetual,49000,,Published
5116877-21823852557,Net Protector Total Security 10U 3YR,Antivirus Software,NET PROTECTOR,Net Protector Total Security 10U 3YR,25000,,Published
5116877-78511654165,Brown Simple Stool - Medium Height,Plastic Stool (V2),NA,KR plastic stool,850,,Published
5116877-22081349122,Unbranded Silver Grey Colored Steel Shelving Cabinets,Steel Almirah / Cabinets conforming to IS 3312 (V4),NA,ACPL-SSC-004,32000,,Published
5116877-1807609753,EPSON PASSBOOK 128 Kbyte Bankbook or Passbook Update Machines-printer,Bankbook or Passbook Update Machines - Printer,EPSON PASSBOOK,EPSON- PLQ-35 PASSBOOK PRINTER,39500,,Published
6894588-28249376147,MDH - Sabzi Masala (100g),Sabji Masala (à¤¸à¤¬à¥à¤œà¥€ à¤®à¤¸à¤¾à¤²à¤¾),MDH,mdh-sabzi-100,168,,Draft Products
5116877-64889413426,TVS ELECTRONICS Handheld (Wired) Based Barcode Scanner,Barcode Scanner,TVS ELECTRONICS,BS-i103 G,4495,,Published
5116877-47468005602,TVS ELECTRONICS Handheld (Wired) Based Barcode Scanner,Barcode Scanner,TVS ELECTRONICS,BS L100 Plus,4245,,Published
5116877-99314056844,REVOLVING CHAIR,Revolving Chair (V5),DAZE FURNITURES,BALLA901,6400,,Published
5116877-83776417869,DAZE FURNITURES Mid-back Revolving Chair of Adjustable height with Wheels,Revolving Chair (V5),DAZE FURNITURES,BALLA00001,10000,,Published
5116877-37068059383,LABWAN Mild Steel Colony counter electronic balance,Colony counter electronic balance,LABWAN,LW-CC4,200000,,Discontinued
5116877-21990188450,Mobile stand with card holder,Business Card Holders,NA,Mobile stand with card holder,400,,Published
5116877-64108049127,Unbranded Compostable Carry Bags 25 microns; 6 Kgs; 475 mm x 350 mm; 10.9 gms,Compostable Carry Bags,NA,TRISHUL,175,,Published
5116877-70846694706,RUDDHANIA MODULAR TABLE 0926,Modular Table / Meeting Table / Centre Table (V2),Ruddhania Flexible Furnitures,RUDDHANIA MODULAR TABLE 0926,30000,,Published
5116877-83097333674,MODULAR TABLE,Modular Table / Meeting Table / Centre Table (V2),Ruddhania Flexible Furnitures,MODULAR TABLE,16000,,Published
5116877-23424615931,RUDDHANIA MODULAR TABLE 09,Modular Table / Meeting Table / Centre Table (V2),Ruddhania Flexible Furnitures,RUDDHANIA MODULAR TABLE 09,54800,,Published
5116877-82214352411,CAP FOREST,peak cap,NA,CAP FOREST,135,,Published
5116877-22829244740,Office Bag,Office Bags (V2),NA,NA,950,,Published
5116877-13747658875,Tshirt,T-Shirt (V3),NA,NA,599,,Published
5116877-28068439430,Unbranded Stainless Steel Electronic Baby Weighing Scale -100kg capacity,Electronic Baby Weighing Scale - RBSK,NA,unbranded baby weighing scale,50000,,Published
5116877-27891146562,TVS Non-Mechanical Wired Computer Keyboard,Computer Keyboards,TVS,TVS Champ HD Keyboard,1095,,Published
5116877-19214623695,TVS ELECTRONICS Wired Computer Mouse,Computer Mouse,TVS ELECTRONICS,TVS Champ M120 Mouse,399,,Published
5116877-43339620635,CC-232G CASH COUNTER,Currency Counting Machine (V2),TVS ELECTRONICS,CC-232G CASH COUNTER,8900,,Published
5116877-23383819439,LAPCARE LPSSD256GBPRO,Internal Storage Device (SSD/HDD) (V2),LAPCARE,LPSSD256GBPRO,16399,,Published
5116877-75536161327,LAPCARE LPSSD128GB,Internal Storage Device (SSD/HDD) (V2),LAPCARE,LPSSD128GB,8199,,Published
5116877-84164387413,LAPCARE LPSSD512GB,Internal Storage Device (SSD/HDD) (V2),LAPCARE,LPSSD512GB,22599,,Published
5116877-51374243768,Unbranded 800 x 320 (HxL)(MM) LED Based Information Display System,LED Based Information Display System,NA,SKY/04/2025,16000,,Published
5116877-9862287815,LED BASED POSTAL DEPARTMENT DIFFERENT SCHEME INTEREST RATE DISPLAY SYSTEM SIZE 42X 24 INCH,LED Based Information Display System,NA,NA,18000,,Published
5116877-66004949741,LAPCARE Magma LMK-105,Keyboards and Mouse Combo (V2),LAPCARE,Magma LMK-105,1299,,Published
5116877-45016484269,LAPCARE In Plane Switching (IPS) Computer Monitor with a Power Cable and/or Adapter,Computer Monitor (V2),LAPCARE,LMN22WD,20799,,Published
5116877-96765123890,LAPCARE LMN24WHD COMPUTER MONITOR,Computer Monitor (V2),LAPCARE,LMN24WHD,27000,,Published
5116877-15080237132,chair,Revolving Chair (V5),Rana Furnicos Pvt. Ltd.,RF-RC-022,40000,,Published
5116877-78880953386,CC-453G+ CASH COUNTER,Currency Counting Machine (V2),TVS ELECTRONICS,CC-453G+ CASH COUNTER,16995,,Published
5116877-22311140288,LED BATTEN 36 WATT,LED Batten with Battery / Invertor,NA,36 WATT LED BATTEN,950,,Published
5116877-43221096614,Unbranded key holder,Key Hole Test Board,NA,NA,10000,,Published
5116877-67393229390,LAPCARE LPC137A,Toner Cartridges / Ink Cartridges / Consumables for Printers,LAPCARE,LAPCARE LPC137A,2799,,Published
5116877-56467024480,Rana Furnicos Pvt. Ltd. High-back Revolving Chair of Adjustable height with Wheels,Revolving Chair (V5),Rana Furnicos Pvt. Ltd.,RF-RC-018,80000,,Published
5116877-42298734673,ELECTRNIC BABY WEIGHT SCALE,Electronic Baby Weighing Scale - RBSK,SMART,SC2011,7230,,Published
5116877-97352969049,TVS ELECTRONICS Loose Currency Desktop/Table Top-Type Currency Counting Machine having counting speed Upto 1000 currency notes per minute,Currency Counting Machine (V2),TVS ELECTRONICS,CASH COUNTER CC-552 Platina- Dual CIS Technology,35000,,Published
5116877-8629611504,Chair for Preschool made up of Virgin Polyethylene,Chair (Preschool Kit),NA,Kids Chair ATLS-08,1500,,Published
5116877-27347578502,TVS SPEED40 PLUS,Thermal Ribbon,NA,TVS SPEED40 PLUS,1700,,Published
5116877-80156610301,Notebook Diary,Yearly Planners as per IS 1848,Amsburg,Ams 01,260,,Published
5116877-42170536038,J K Excel Bond Paper 1.2 kilogram Ream of 500 Sheets 75 gsm A3 (297 X 420) size Bond Papers,Bond Paper (V3) Conforming to IS 1848 (Part 1),J K Excel Bond Paper,JK BOND PAPER A3 75 GSM,800,,Published
5116877-64252701788,Unbranded Variety 2 Cotton Terry (Turkish) Towel of Size 155 cm x 80 cm,Cotton Towelling And Towels (V3) Conforming To IS 7056,NA,NA,1000,,Published
5116877-60331164419,J K Excel Bond Paper 3.12 kilogram Ream of 500 Sheets 110 gsm A4 (210 X 297) size Bond Papers,Bond Paper (V3) Conforming to IS 1848 (Part 1),J K Excel Bond Paper,JK EXCEL BOND PAPER,635,,Published
5116877-36294268722,JK EXCEL BOND PAPER,Bond Paper (V3) Conforming to IS 1848 (Part 1),J K Excel Bond Paper,JK EXCEL BOND PAPER,720,,Published
6894588-47876652437,JK Excel Bond 100G SM,Bond Paper (V3) Conforming to IS 1848 (Part 1),JK Bond,NA,635,,Pending Approval
5116877-74814111065,Unbranded 3.3 kilogram Ream of 500 Sheets 100 gsm A4 (210 X 297) size Bond Papers,Bond Paper (V3) Conforming to IS 1848 (Part 1),NA,Bond Paper,1150,,Published
5116877-8521242003,Samsung Curved Monitor,Computer Monitor (V2),SAMSUNG,LS27D368GAWXXL,17400,,Published
5116877-32318903398,Samsung Monitor,Computer Monitor (V2),SAMSUNG,LS24D304GAWXXL,15200,,Published
5116877-77198067301,SAMSUNG In Plane Switching (IPS) Computer Monitor with a Power Cable and/or Adapter,Computer Monitor (V2),SAMSUNG,LS22D304GAWXXL,13700,,Published
5116877-84236345397,UNBRANDED SIGNAGE BOARD - 4 x 1.5,Signage Board (V4),NA,Metallic Signage,1800,,Published
5116877-7586834809,Unbranded 200 mm long Plastic Grip Seal,Plastic Grip Seal,NA,SNAP LOCK,2.7999999999999998,,Published
